!NGx Ngy
171 121
!  x[cm]	   y[cm]	  Bx[Arb]	By[Arb]		
-6.800000	-5.600000	 0.392292	-0.151395
-6.800000	-5.500000	 0.392959	-0.160527
-6.800000	-5.400000	 0.395703	-0.174464
-6.800000	-5.300000	 0.396756	-0.183449
-6.800000	-5.200000	 0.399187	-0.197091
-6.800000	-5.100000	 0.404159	-0.208856
-6.800000	-5.000000	 0.404872	-0.225736
-6.800000	-4.900000	 0.403290	-0.236904
-6.800000	-4.800000	 0.406195	-0.247631
-6.800000	-4.700000	 0.408476	-0.268858
-6.800000	-4.600000	 0.407967	-0.274066
-6.800000	-4.500000	 0.413689	-0.292841
-6.800000	-4.400000	 0.409046	-0.307151
-6.800000	-4.300000	 0.410252	-0.320832
-6.800000	-4.200000	 0.409373	-0.338245
-6.800000	-4.100000	 0.414590	-0.356082
-6.800000	-4.000000	 0.411431	-0.368198
-6.800000	-3.900000	 0.410259	-0.389702
-6.800000	-3.800000	 0.410161	-0.404520
-6.800000	-3.700000	 0.407062	-0.427340
-6.800000	-3.600000	 0.404188	-0.435859
-6.800000	-3.500000	 0.403398	-0.450323
-6.800000	-3.400000	 0.398036	-0.469666
-6.800000	-3.300000	 0.397222	-0.489466
-6.800000	-3.200000	 0.388938	-0.505280
-6.800000	-3.100000	 0.387036	-0.522228
-6.800000	-3.000000	 0.380335	-0.538663
-6.800000	-2.900000	 0.371156	-0.552392
-6.800000	-2.800000	 0.370690	-0.569627
-6.800000	-2.700000	 0.352245	-0.585360
-6.800000	-2.600000	 0.354909	-0.604153
-6.800000	-2.500000	 0.343268	-0.617489
-6.800000	-2.400000	 0.334954	-0.629444
-6.800000	-2.300000	 0.322896	-0.646021
-6.800000	-2.200000	 0.311402	-0.660362
-6.800000	-2.100000	 0.300071	-0.669124
-6.800000	-2.000000	 0.288418	-0.691727
-6.800000	-1.900000	 0.277875	-0.702122
-6.800000	-1.800000	 0.266805	-0.712058
-6.800000	-1.700000	 0.252540	-0.726257
-6.800000	-1.600000	 0.237621	-0.738802
-6.800000	-1.500000	 0.227425	-0.742190
-6.800000	-1.400000	 0.211981	-0.753013
-6.800000	-1.300000	 0.198510	-0.762175
-6.800000	-1.200000	 0.185150	-0.770105
-6.800000	-1.100000	 0.167356	-0.781336
-6.800000	-1.000000	 0.154168	-0.786854
-6.800000	-0.900000	 0.138337	-0.788714
-6.800000	-0.800000	 0.124259	-0.799426
-6.800000	-0.700000	 0.104224	-0.806291
-6.800000	-0.600000	 0.094504	-0.805327
-6.800000	-0.500000	 0.076907	-0.812720
-6.800000	-0.400000	 0.061761	-0.810858
-6.800000	-0.300000	 0.046708	-0.816613
-6.800000	-0.200000	 0.031371	-0.817820
-6.800000	-0.100000	 0.018956	-0.820104
-6.800000	-0.000000	 0.004599	-0.819075
-6.800000	 0.100000	-0.012394	-0.813618
-6.800000	 0.200000	-0.032391	-0.816022
-6.800000	 0.300000	-0.043949	-0.812961
-6.800000	 0.400000	-0.063139	-0.811333
-6.800000	 0.500000	-0.075551	-0.806110
-6.800000	 0.600000	-0.093407	-0.808048
-6.800000	 0.700000	-0.109213	-0.801169
-6.800000	 0.800000	-0.119736	-0.800573
-6.800000	 0.900000	-0.135502	-0.792068
-6.800000	 1.000000	-0.155465	-0.786084
-6.800000	 1.100000	-0.172041	-0.780999
-6.800000	 1.200000	-0.183602	-0.770760
-6.800000	 1.300000	-0.199596	-0.760927
-6.800000	 1.400000	-0.209307	-0.753070
-6.800000	 1.500000	-0.222837	-0.747163
-6.800000	 1.600000	-0.236947	-0.735816
-6.800000	 1.700000	-0.252247	-0.720103
-6.800000	 1.800000	-0.267451	-0.715365
-6.800000	 1.900000	-0.277647	-0.698814
-6.800000	 2.000000	-0.292792	-0.688720
-6.800000	 2.100000	-0.304599	-0.675599
-6.800000	 2.200000	-0.314177	-0.661613
-6.800000	 2.300000	-0.327974	-0.647255
-6.800000	 2.400000	-0.331945	-0.631437
-6.800000	 2.500000	-0.341844	-0.615782
-6.800000	 2.600000	-0.352330	-0.601233
-6.800000	 2.700000	-0.359100	-0.585398
-6.800000	 2.800000	-0.366493	-0.568876
-6.800000	 2.900000	-0.371032	-0.554502
-6.800000	 3.000000	-0.378673	-0.534834
-6.800000	 3.100000	-0.388295	-0.523281
-6.800000	 3.200000	-0.391849	-0.506700
-6.800000	 3.300000	-0.399490	-0.484846
-6.800000	 3.400000	-0.401009	-0.468630
-6.800000	 3.500000	-0.404477	-0.451506
-6.800000	 3.600000	-0.402810	-0.437897
-6.800000	 3.700000	-0.407209	-0.419215
-6.800000	 3.800000	-0.409901	-0.407588
-6.800000	 3.900000	-0.414356	-0.387518
-6.800000	 4.000000	-0.410128	-0.372888
-6.800000	 4.100000	-0.411627	-0.350777
-6.800000	 4.200000	-0.415027	-0.336007
-6.800000	 4.300000	-0.411878	-0.320751
-6.800000	 4.400000	-0.411437	-0.306783
-6.800000	 4.500000	-0.412985	-0.292546
-6.800000	 4.600000	-0.409985	-0.282011
-6.800000	 4.700000	-0.407057	-0.266622
-6.800000	 4.800000	-0.405295	-0.250130
-6.800000	 4.900000	-0.407541	-0.235616
-6.800000	 5.000000	-0.399725	-0.224739
-6.800000	 5.100000	-0.400206	-0.210739
-6.800000	 5.200000	-0.398882	-0.195844
-6.800000	 5.300000	-0.397921	-0.186711
-6.800000	 5.400000	-0.396527	-0.175667
-6.800000	 5.500000	-0.394304	-0.158598
-6.800000	 5.600000	-0.391311	-0.150873
-6.800000	 5.700000	-0.393897	-0.139005
-6.800000	 5.800000	-0.393007	-0.126239
-6.800000	 5.900000	-0.387292	-0.116025
-6.800000	 6.000000	-0.387425	-0.105300
-6.700000	-6.000000	 0.397201	-0.100317
-6.700000	-5.900000	 0.399805	-0.114898
-6.700000	-5.800000	 0.404185	-0.125206
-6.700000	-5.700000	 0.402632	-0.136731
-6.700000	-5.600000	 0.404148	-0.148918
-6.700000	-5.500000	 0.408583	-0.158468
-6.700000	-5.400000	 0.407960	-0.169640
-6.700000	-5.300000	 0.414556	-0.183503
-6.700000	-5.200000	 0.413009	-0.194974
-6.700000	-5.100000	 0.411925	-0.212947
-6.700000	-5.000000	 0.416957	-0.227539
-6.700000	-4.900000	 0.417044	-0.238926
-6.700000	-4.800000	 0.416686	-0.247417
-6.700000	-4.700000	 0.425551	-0.262837
-6.700000	-4.600000	 0.423274	-0.280411
-6.700000	-4.500000	 0.425627	-0.296148
-6.700000	-4.400000	 0.424745	-0.310619
-6.700000	-4.300000	 0.426567	-0.323149
-6.700000	-4.200000	 0.426498	-0.337658
-6.700000	-4.100000	 0.428655	-0.354526
-6.700000	-4.000000	 0.426846	-0.373235
-6.700000	-3.900000	 0.427685	-0.384842
