#      RECTANGULAR GRID:                                                         
#     R    151 POINTS: R=0.60000E+03,0.75000E+03,0.10000E+01                     
#     Z     11 POINTS: Z=0.00000E+00,0.10000E+02,0.10000E+01                     
# TABLE: R         Z          BR          BZ                                     
 0.62700E+03 0.20000E+01 0.39800E+02 0.55711E+03
 0.62800E+03 0.20000E+01 0.42499E+02 0.57759E+03
 0.62900E+03 0.20000E+01 0.45878E+02 0.59958E+03
 0.63000E+03 0.20000E+01 0.49071E+02 0.62314E+03
 0.63100E+03 0.20000E+01 0.52085E+02 0.64831E+03
 0.63200E+03 0.20000E+01 0.55527E+02 0.67508E+03
 0.63300E+03 0.20000E+01 0.59721E+02 0.70368E+03
 0.63400E+03 0.20000E+01 0.63496E+02 0.73431E+03
 0.63500E+03 0.20000E+01 0.67230E+02 0.76682E+03
 0.63600E+03 0.20000E+01 0.71633E+02 0.80137E+03
 0.63700E+03 0.20000E+01 0.76852E+02 0.83813E+03
 0.63800E+03 0.20000E+01 0.81363E+02 0.87754E+03
 0.63900E+03 0.20000E+01 0.86023E+02 0.91912E+03
 0.64000E+03 0.20000E+01 0.91637E+02 0.96335E+03
 0.64100E+03 0.20000E+01 0.97932E+02 0.10103E+04
 0.64200E+03 0.20000E+01 0.10349E+03 0.10605E+04
 0.64300E+03 0.20000E+01 0.10929E+03 0.11133E+04
 0.64400E+03 0.20000E+01 0.11644E+03 0.11696E+04
 0.64500E+03 0.20000E+01 0.12395E+03 0.12293E+04
 0.64600E+03 0.20000E+01 0.13084E+03 0.12927E+04
 0.64700E+03 0.20000E+01 0.13802E+03 0.13594E+04
 0.64800E+03 0.20000E+01 0.14709E+03 0.14304E+04
 0.64900E+03 0.20000E+01 0.15592E+03 0.15058E+04
 0.65000E+03 0.20000E+01 0.16443E+03 0.15856E+04
 0.65100E+03 0.20000E+01 0.17329E+03 0.16693E+04
 0.65200E+03 0.20000E+01 0.18467E+03 0.17584E+04
 0.65300E+03 0.20000E+01 0.19514E+03 0.18531E+04
 0.65400E+03 0.20000E+01 0.20559E+03 0.19528E+04
 0.65500E+03 0.20000E+01 0.21664E+03 0.20576E+04
 0.65600E+03 0.20000E+01 0.23076E+03 0.21688E+04
 0.65700E+03 0.20000E+01 0.24314E+03 0.22871E+04
 0.65800E+03 0.20000E+01 0.25609E+03 0.24112E+04
 0.65900E+03 0.20000E+01 0.27015E+03 0.25417E+04
 0.66000E+03 0.20000E+01 0.28709E+03 0.26803E+04
 0.66100E+03 0.20000E+01 0.30258E+03 0.28274E+04
 0.66200E+03 0.20000E+01 0.31893E+03 0.29818E+04
 0.66300E+03 0.20000E+01 0.33712E+03 0.31443E+04
 0.66400E+03 0.20000E+01 0.35816E+03 0.33174E+04
 0.66500E+03 0.20000E+01 0.37826E+03 0.35010E+04
 0.66600E+03 0.20000E+01 0.39963E+03 0.36940E+04
 0.66700E+03 0.20000E+01 0.42389E+03 0.38976E+04
 0.66800E+03 0.20000E+01 0.45091E+03 0.41157E+04
 0.66900E+03 0.20000E+01 0.47779E+03 0.43469E+04
 0.67000E+03 0.20000E+01 0.50648E+03 0.45908E+04
 0.67100E+03 0.20000E+01 0.53952E+03 0.48492E+04
 0.67200E+03 0.20000E+01 0.57471E+03 0.51275E+04
 0.67300E+03 0.20000E+01 0.61062E+03 0.54229E+04
 0.67400E+03 0.20000E+01 0.64866E+03 0.57350E+04
 0.67500E+03 0.20000E+01 0.69180E+03 0.60667E+04
 0.67600E+03 0.20000E+01 0.73538E+03 0.64249E+04
 0.67700E+03 0.20000E+01 0.77958E+03 0.68037E+04
 0.67800E+03 0.20000E+01 0.82481E+03 0.72032E+04
 0.67900E+03 0.20000E+01 0.87296E+03 0.76258E+04
 0.68000E+03 0.20000E+01 0.91828E+03 0.80780E+04
 0.68100E+03 0.20000E+01 0.96113E+03 0.85515E+04
 0.68200E+03 0.20000E+01 0.10010E+04 0.90451E+04
 0.68300E+03 0.20000E+01 0.10372E+04 0.95584E+04
 0.68400E+03 0.20000E+01 0.10632E+04 0.10094E+05
 0.68500E+03 0.20000E+01 0.10766E+04 0.10641E+05
 0.68600E+03 0.20000E+01 0.10755E+04 0.11193E+05
 0.68700E+03 0.20000E+01 0.10568E+04 0.11745E+05
 0.68800E+03 0.20000E+01 0.10046E+04 0.12284E+05
 0.68900E+03 0.20000E+01 0.92399E+03 0.12784E+05
 0.69000E+03 0.20000E+01 0.81992E+03 0.13239E+05
 0.69100E+03 0.20000E+01 0.69688E+03 0.13633E+05
 0.69200E+03 0.20000E+01 0.55182E+03 0.13957E+05
 0.69300E+03 0.20000E+01 0.41504E+03 0.14186E+05
 0.69400E+03 0.20000E+01 0.29569E+03 0.14349E+05
 0.69500E+03 0.20000E+01 0.19394E+03 0.14457E+05
 0.69600E+03 0.20000E+01 0.11263E+03 0.14519E+05
 0.69700E+03 0.20000E+01 0.53487E+02 0.14543E+05
 0.69800E+03 0.20000E+01 0.22318E+02 0.14548E+05
 0.69900E+03 0.20000E+01 0.35968E+01 0.14544E+05
 0.70000E+03 0.20000E+01 -.58657E+01 0.14537E+05
 0.70100E+03 0.20000E+01 -.91517E+01 0.14530E+05
 0.70200E+03 0.20000E+01 -.88067E+01 0.14524E+05
 0.70300E+03 0.20000E+01 -.73114E+01 0.14519E+05
 0.70400E+03 0.20000E+01 -.55968E+01 0.14516E+05
 0.70500E+03 0.20000E+01 -.39620E+01 0.14513E+05
 0.70600E+03 0.20000E+01 -.25754E+01 0.14512E+05
